doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_median,tmin_C_7d_median,precip_mm_7d_median,rh_max_pct_7d_median,rh_min_pct_7d_median,solar_MJ_m2_7d_median,tmax_C_30d_median,tmin_C_30d_median,precip_mm_30d_median,rh_max_pct_30d_median,rh_min_pct_30d_median,solar_MJ_m2_30d_median
86,38.4,26.8,0.0,72.0,25.0,23.76,38.271428571428565,26.557142857142857,0.0,72.85714285714286,27.285714285714285,23.422857142857143,38.013333333333335,26.566666666666666,0.029999999999999995,72.93333333333334,28.4,23.101
87,38.4,26.5,0.0,72.0,27.0,23.94,38.300000000000004,26.685714285714287,0.0,72.14285714285714,27.0,23.52857142857143,38.01,26.566666666666666,0.029999999999999995,73.23333333333333,28.666666666666668,23.137333333333334
88,38.5,27.0,0.0,70.0,28.0,23.42,38.371428571428574,26.842857142857145,0.014285714285714287,71.71428571428571,27.0,23.6,38.0,26.563333333333333,0.03333333333333333,73.63333333333334,28.9,23.151333333333337
89,38.5,27.1,0.0,73.0,27.0,23.71,38.34285714285714,26.885714285714283,0.014285714285714287,72.0,27.571428571428573,23.43285714285714,37.97,26.583333333333332,0.03333333333333333,73.93333333333334,29.2,23.144999999999996
90,38.1,27.2,0.0,72.0,28.0,23.3,38.357142857142854,26.82857142857143,0.014285714285714287,72.28571428571429,28.142857142857142,23.398571428571433,37.95,26.583333333333332,0.03333333333333333,74.16666666666667,29.533333333333335,23.125999999999998
91,38.3,26.8,0.1,72.0,29.0,23.4,38.32857142857143,26.842857142857145,0.014285714285714287,72.28571428571429,28.571428571428573,23.278571428571432,37.906666666666666,26.6,0.03666666666666667,74.23333333333333,29.866666666666667,23.105000000000004
92,38.2,26.8,0.0,73.0,29.0,22.5,38.18571428571429,26.842857142857145,0.05714285714285715,73.0,29.428571428571427,23.195714285714285,37.88,26.596666666666668,0.043333333333333335,74.6,30.2,23.117
93,38.5,26.4,0.0,74.0,29.0,23.52,38.01428571428572,26.75714285714286,0.09999999999999999,73.71428571428571,30.428571428571427,23.024285714285714,37.830000000000005,26.603333333333335,0.05,74.83333333333333,30.7,23.131000000000004
94,38.2,26.6,0.0,72.0,30.0,23.1,37.97142857142857,26.714285714285715,0.11428571428571428,74.28571428571429,31.0,23.01571428571429,37.806666666666665,26.58,0.060000000000000005,75.2,30.966666666666665,23.161333333333335
95,37.5,27.0,0.3,75.0,34.0,22.84,37.84285714285714,26.614285714285717,0.09999999999999999,75.28571428571429,31.857142857142858,22.927142857142858,37.75333333333334,26.563333333333333,0.07,75.56666666666666,31.4,23.15566666666667
96,37.3,26.5,0.3,78.0,34.0,22.51,37.7,26.585714285714285,0.1142857142857143,76.0,32.42857142857143,23.112857142857145,37.67666666666666,26.55,0.07333333333333333,75.8,31.833333333333332,23.111666666666668
97,37.8,26.9,0.1,76.0,32.0,23.24,37.542857142857144,26.599999999999998,0.1142857142857143,76.42857142857143,33.142857142857146,23.054285714285715,37.63333333333333,26.546666666666667,0.08666666666666667,76.13333333333334,32.2,23.095000000000002
98,37.4,26.1,0.0,79.0,35.0,22.78,37.5,26.599999999999998,0.1142857142857143,77.0,33.57142857142857,23.174285714285713,37.583333333333336,26.526666666666664,0.09000000000000001,76.46666666666667,32.53333333333333,23.109666666666666
99,37.2,26.6,0.1,78.0,33.0,23.8,37.5,26.514285714285712,0.08571428571428572,77.71428571428571,33.57142857142857,23.201428571428572,37.55333333333333,26.509999999999998,0.11,76.73333333333333,32.833333333333336,23.124666666666666
100,37.4,26.5,0.0,77.0,34.0,23.11,37.47142857142857,26.5,0.04285714285714285,78.14285714285714,33.714285714285715,23.264285714285716,37.5,26.519999999999996,0.12333333333333334,77.0,33.233333333333334,23.101000000000003
101,37.9,26.6,0.0,76.0,33.0,23.94,37.385714285714286,26.428571428571427,0.028571428571428564,78.71428571428571,34.285714285714285,23.138571428571428,37.443333333333335,26.516666666666666,0.12333333333333334,77.4,33.666666666666664,23.100666666666665
102,37.5,26.4,0.1,80.0,34.0,23.03,37.357142857142854,26.52857142857143,0.04285714285714285,78.14285714285714,34.285714285714285,23.141428571428573,37.38333333333333,26.5,0.13666666666666666,77.73333333333333,34.2,23.086666666666666
103,37.1,26.4,0.0,81.0,35.0,22.95,37.357142857142854,26.5,0.05714285714285714,78.42857142857143,34.57142857142857,23.009999999999998,37.306666666666665,26.490000000000002,0.17333333333333334,78.1,34.63333333333333,23.038
104,37.2,26.4,0.0,80.0,36.0,22.36,37.25714285714286,26.5,0.08571428571428572,78.57142857142857,35.285714285714285,23.00714285714286,37.230000000000004,26.453333333333333,0.18333333333333332,78.5,35.03333333333333,23.028
105,37.2,26.8,0.1,75.0,35.0,22.8,37.17142857142857,26.428571428571423,0.12857142857142856,79.28571428571429,35.57142857142857,22.93285714285714,37.14,26.426666666666666,0.20666666666666667,78.86666666666666,35.56666666666667,23.002666666666666
106,37.2,26.4,0.2,80.0,35.0,22.88,37.01428571428572,26.414285714285715,0.15714285714285717,79.42857142857143,36.142857142857146,22.87,37.06333333333334,26.383333333333333,0.22000000000000003,79.23333333333333,36.1,22.983999999999998
107,36.7,26.5,0.2,78.0,39.0,23.09,36.885714285714286,26.400000000000002,0.17142857142857143,79.28571428571429,36.714285714285715,22.77285714285714,36.99333333333333,26.36,0.24000000000000002,79.6,36.53333333333333,22.96033333333333
108,37.3,26.1,0.3,81.0,35.0,23.42,36.82857142857143,26.4,0.2285714285714286,79.71428571428571,37.142857142857146,22.832857142857144,36.93333333333333,26.33,0.26,79.96666666666667,36.86666666666667,22.990333333333336
109,36.4,26.3,0.3,81.0,38.0,22.59,36.68571428571429,26.271428571428572,0.22857142857142856,80.85714285714286,37.857142857142854,22.878571428571426,36.84666666666667,26.310000000000002,0.26999999999999996,80.23333333333333,37.266666666666666,22.924
110,36.2,26.3,0.1,80.0,39.0,22.27,36.65714285714286,26.185714285714287,0.2857142857142857,81.57142857142857,38.42857142857143,22.897142857142857,36.74666666666667,26.279999999999998,0.29333333333333333,80.66666666666667,37.733333333333334,22.894
111,36.8,26.4,0.4,83.0,39.0,22.78,36.58571428571429,26.114285714285717,0.31428571428571433,82.28571428571429,38.714285714285715,22.768571428571427,36.67,26.246666666666666,0.31,81.0,38.06666666666667,22.848999999999997
112,36.2,25.9,0.1,83.0,40.0,23.12,36.5,26.157142857142862,0.2714285714285714,82.57142857142857,39.142857142857146,22.802857142857142,36.60333333333334,26.220000000000002,0.32000000000000006,81.3,38.36666666666667,22.828666666666667
113,37.0,25.8,0.6,85.0,39.0,23.01,36.52857142857143,26.157142857142855,0.2857142857142857,82.71428571428571,39.57142857142857,22.91,36.53666666666667,26.183333333333334,0.33666666666666667,81.63333333333334,38.733333333333334,22.811999999999998
114,36.2,26.0,0.4,83.0,41.0,22.19,36.51428571428571,26.142857142857142,0.42857142857142855,83.14285714285714,39.714285714285715,22.939999999999998,36.47666666666667,26.17666666666667,0.35,81.86666666666666,39.0,22.802
115,36.7,26.4,0.0,83.0,38.0,23.66,36.42857142857143,26.071428571428573,0.41428571428571426,83.0,39.857142857142854,22.988571428571426,36.43,26.14,0.36333333333333334,82.16666666666667,39.333333333333336,22.771333333333335
116,36.6,26.3,0.4,82.0,41.0,23.34,36.371428571428574,26.12857142857143,0.5,83.14285714285714,40.285714285714285,22.96428571428572,36.36666666666667,26.10666666666667,0.38333333333333336,82.56666666666666,39.63333333333333,22.75
117,36.1,26.2,1.1,83.0,40.0,22.48,36.2,26.142857142857142,0.4714285714285715,82.85714285714286,41.0,22.925714285714285,36.28333333333333,26.08,0.38666666666666666,82.9,40.03333333333333,22.66033333333333
