date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,doy,p7_mm,p30_mm,dry_day,dry_streak_days,cdd_30_max,heat_day_35C,heat_7_count,heat_30_count,precip_clim_daily_mean_mm,p7_clim_mm,p30_clim_mm,p30_pct_of_normal,p30_anom_pct,p7_pct_of_normal,p7_anom_pct
2025-08-05,29.1,22.6,5.5,98,66,19.42,217,53.89999999999999,201.0,False,0,3.0,False,0,0,4.645161290322581,37.322580645161295,156.03870967741938,128.81419002646297,0.28814190027103836,144.4165946374443,0.4441659464012363
2025-08-06,29.6,22.9,2.4,96,65,18.1,218,56.199999999999996,191.20000000000002,False,0,3.0,False,0,0,4.235483870967743,36.983870967741936,156.8451612903226,121.9036650068325,0.21903665007470063,151.95813344552053,0.5195813344822441
2025-08-07,29.9,21.9,6.8,98,62,17.31,219,59.099999999999994,180.8,False,0,3.0,False,0,0,4.125806451612903,31.506451612903227,156.8516129032258,115.26818032173962,0.1526818032237717,187.58062864153268,0.8758062864470664
2025-08-08,26.2,22.2,9.4,97,77,9.92,220,57.599999999999994,172.70000000000002,False,0,3.0,False,0,0,6.470967741935484,32.92903225806452,158.24193548387098,109.13668331395716,0.09136683314589093,174.9216300887318,0.7492163009176863
2025-08-09,28.8,22.9,7.4,97,64,14.7,221,64.89999999999999,178.60000000000002,False,0,3.0,False,0,0,4.987096774193549,33.3258064516129,155.3903225806452,114.93637250554004,0.14936372506183573,194.743974439999,0.9474397444299966
2025-08-10,28.6,22.0,6.5,98,69,16.44,222,55.5,185.10000000000002,False,0,3.0,False,0,0,4.812903225806451,34.88064516129032,156.61290322580646,118.18949536484782,0.18189495365486336,159.11402940448303,0.5911402940734994
2025-08-11,29.6,22.3,1.3,96,65,22.01,223,39.3,176.6,False,0,3.0,False,0,0,5.706451612903226,34.983870967741936,158.8677419354839,111.16164795154295,0.111616479521724,112.33748270771558,0.12337482710574024
2025-08-12,29.0,22.5,13.3,98,67,18.33,224,47.099999999999994,177.0,False,0,3.0,False,0,0,6.645161290322581,36.983870967741936,162.07419354838711,109.209243077964,0.09209243078580988,127.35281290540956,0.2735281290811343
2025-08-13,28.9,22.0,3.6,98,66,14.16,225,48.3,179.7,False,0,3.0,False,0,0,7.645161290322581,40.39354838709678,166.57096774193553,107.88194511622586,0.07881945116826203,119.57355054806997,0.19573550550545596
2025-08-14,29.0,21.8,9.1,97,62,17.21,226,50.6,181.4,False,0,3.0,False,0,0,16.051612903225806,52.31935483870967,176.98387096774198,102.49521552844665,0.024952155290116705,96.71373080769585,-0.032862691903928126
