doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_std,tmin_C_7d_std,precip_mm_7d_std,rh_max_pct_7d_std,rh_min_pct_7d_std,solar_MJ_m2_7d_std,tmax_C_30d_std,tmin_C_30d_std,precip_mm_30d_std,rh_max_pct_30d_std,rh_min_pct_30d_std,solar_MJ_m2_30d_std
24,1.5929751700742607,1.8930944117008268,0.0,20.758467633585667,7.272869011326547,1.0424614172484312,1.6069183117564962,1.7230921786120326,0.3382893516856183,22.152975382554025,8.304406002691959,1.3756116018108149,1.3759896464001045,1.9698847059952795,0.32153219786360326,21.30134642556378,7.579488866842728,1.3695186802313435
25,1.546324118537215,1.7543249168778559,0.0,20.150562307050457,7.621700766931562,1.063925880674914,1.4910655959073946,1.768192439982301,0.056447380636986524,22.154407386861685,7.510169592989864,1.1138068249587172,1.373808734174371,1.9796575425943923,0.32153219786360326,21.451831187459664,7.638623961768262,1.379890988072674
26,1.3054723530263403,1.724111115846349,0.0,22.29002380640996,7.415908502990796,1.0870036749005554,1.4208012005981645,1.8313675917946484,0.04875001055012474,21.86199573751865,7.312588451618875,1.0695214029372384,1.3698847759727344,1.992415453358638,0.32153219786360326,21.588696842175477,7.644480587230478,1.3815576835970693
27,1.2318532240455422,1.6861548800658523,0.03592106040535498,24.940962549653648,7.277155299106365,0.8905630694370632,1.3307120118273723,1.8818222223589,0.08980265101338758,22.177727117785885,7.659644581234729,1.0974148939385235,1.3678922846427544,2.01341588992542,0.32153219786360326,21.641676131330556,7.627092626219215,1.3615904679121287
28,1.2897528312011552,1.9523848113558202,0.21552636243212986,22.960602067712163,7.970240346614128,1.1133516191917927,1.253723437451289,1.9029386719709471,0.08980265101338758,22.625966922672216,7.677341067629803,1.1382835384101022,1.366204120790745,2.021742351972804,0.328117725604585,21.687110789580785,7.673195003870567,1.3656323675178328
29,1.2900112527641237,2.0639402758717598,0.08980265101338744,20.992215659133503,7.900864251079024,1.0482538476114742,1.228945508759575,1.9654950937988296,0.0923684410423415,22.94484273692185,7.661301044750346,1.169956930564421,1.3747186466472967,2.021383088768824,0.3805969370551401,21.963144402514878,7.737559789199485,1.3877795121467331
30,1.0585951331429688,2.0987451447938366,0.28736848324283987,23.151255800955813,8.15877389059468,1.4363447485054348,1.2562122611692403,2.0715360536511978,0.1205921313608347,22.984136353171362,7.763483045939019,1.2061465893333527,1.3896856961472268,2.0249406959528002,0.38897851781638954,22.17980320817926,7.877751635300912,1.420836337209488
31,1.0540551494416772,2.040909558985157,0.0,23.896146267789977,7.396744416092073,1.3285419285494817,1.3075174309996684,2.1960796960709374,0.1245682024137106,22.776386779131194,7.9402110286062735,1.3032395908893923,1.3985616653408077,2.0512215090081445,0.4164776588686306,22.42515786263217,7.9703868209532205,1.428791632516931
32,1.3728786176952177,2.1922198696730333,0.01796053020267749,22.38269300679789,7.509420606775356,1.2856396257551455,1.3336232142258473,2.268659587975158,0.09377872206626348,22.738055726727996,7.882571517921086,1.3258929744075407,1.4121421295622776,2.0724391137515523,0.436938887758757,22.73715815748923,8.152385135355292,1.4458862214447024
33,1.4963396198939976,2.4663978348129274,0.1975658322294524,22.565079120156543,8.131182511311504,1.3403312862830767,1.3804374800704444,2.3124304620819225,0.09121293203730954,23.047392276971475,7.768191546278075,1.383033929647365,1.4283339345602402,2.094676592873882,0.48200196581146254,23.016160098262294,8.34455784481902,1.4843178527032839
34,1.590989412858539,2.5579603770040267,0.0637535577754862,23.486715531372468,8.514251177777147,1.5702140803293416,1.4341132807588974,2.285009960603373,0.05016029157404671,22.84748786157689,7.454556532685229,1.3509787153368127,1.4380779229632112,2.1000963211325923,0.4662539654664186,23.285773011775962,8.413780534789304,1.5237015036296662
35,1.472493313784407,2.460444054685365,0.0,22.692284700889786,7.5667637718178185,1.27192530381883,1.492441389878946,2.309969151566343,0.05016029157404671,22.598257099157674,7.271805575045448,1.403649417484888,1.4489039923722171,2.108256620585837,0.4698750044491787,23.315032886350277,8.498055311629901,1.546450694157547
36,1.6177111136763036,2.3703363946191094,0.07184212081070997,23.157571510837876,7.100204449577945,1.4482405342902442,1.4858048663088994,2.3042503392989753,0.047594501545092774,22.551571220562387,7.173175774863566,1.4111308532023088,1.448146219535236,2.124947230177967,0.33542182220186656,23.393646478391098,8.520255297263143,1.5793444328874733
37,1.434325737962142,1.9068016344439918,0.0,21.751924893193703,5.9633287954447605,1.2119582483315685,1.4421031737058725,2.249881343777811,0.01937081122659958,22.558099726938075,6.853819449926134,1.392030896055321,1.4290100922592792,2.153186671445741,0.33164243490624457,23.39374017563669,8.427203273636573,1.562241707837127
38,1.4623519132820149,2.2156238957259493,0.0,22.151530930855436,6.1174877126136105,1.6972368435860095,1.3815703218714848,2.222984585550514,0.010263160115815836,22.173385060009736,6.592325738858148,1.319065142481504,1.435996160414444,2.1790391274770187,0.4777961517275121,23.46821791741269,8.555957808944779,1.6326006024350401
39,1.3264229527048914,2.1521881838014587,0.0,22.05589185663091,6.819012005502175,1.3380096757770912,1.3495811446812562,2.226546993791083,0.05901317066594044,22.25853415035269,6.719571457430029,1.338263138143958,1.442555072166528,2.2024361701334767,0.5019744025662323,23.6264758669892,8.727057927432378,1.6539274751121593
40,1.190427771672811,2.085814866164776,0.0,22.610778664786334,5.895688236749483,1.206631586254161,1.35059399459773,2.183605541901641,0.29931881705632846,22.86950667529538,7.316319343850007,1.482238342812359,1.4447117941680687,2.217992794355894,0.5104368433031478,23.74583295672483,8.780954526445434,1.702088947096392
41,1.167259450017825,2.3696830694129476,0.0,20.793712862874102,6.6837952003012395,1.0594538053126237,1.3712649503097327,2.217820974279711,0.3378056674906374,23.527080081195404,8.108497455602768,1.6181321432938347,1.4597197088972391,2.243267220730141,0.5116342119833263,23.886713139835145,8.889965870599031,1.7509789199480628
